symbol,date,open,high,low,close
TSLA,2026-01-16 19:55:00,437.3000,437.4900,437.2500,437.4000
TSLA,2026-01-16 19:50:00,437.3900,437.4300,437.3000,437.3100
TSLA,2026-01-16 19:45:00,437.1800,437.4300,437.1500,437.4300
TSLA,2026-01-16 19:40:00,437.3450,437.3600,437.1800,437.1835
TSLA,2026-01-16 19:35:00,437.4000,437.4100,437.3300,437.3450
TSLA,2026-01-16 19:30:00,437.4100,437.4900,437.3900,437.4001
TSLA,2026-01-16 19:25:00,437.4100,437.4100,437.3500,437.4000
TSLA,2026-01-16 19:20:00,437.4100,437.4100,437.3100,437.4000
TSLA,2026-01-16 19:15:00,437.4800,437.5000,437.3100,437.3300
TSLA,2026-01-16 19:10:00,437.5550,437.5600,437.4500,437.4800
TSLA,2026-01-16 19:05:00,437.5200,437.6400,437.5000,437.5600
TSLA,2026-01-16 19:00:00,437.4600,437.6500,437.4500,437.5200
TSLA,2026-01-16 18:55:00,437.6300,437.6500,437.4500,437.4600
TSLA,2026-01-16 18:50:00,437.6487,437.7200,437.5400,437.6400
TSLA,2026-01-16 18:45:00,437.5500,437.6500,437.5000,437.6250
TSLA,2026-01-16 18:40:00,437.5000,437.7300,437.4500,437.5000
TSLA,2026-01-16 18:35:00,437.5000,437.6200,437.4500,437.4999
TSLA,2026-01-16 18:30:00,437.7750,437.8000,437.4750,437.4900
TSLA,2026-01-16 18:25:00,437.7700,477.1200,437.7200,437.7700
TSLA,2026-01-16 18:20:00,437.8000,437.8000,437.5000,437.7700
TSLA,2026-01-16 18:15:00,437.7000,437.8000,437.6000,437.7100
TSLA,2026-01-16 18:10:00,437.6800,437.7100,437.5500,437.7000
TSLA,2026-01-16 18:05:00,437.8100,437.8500,437.6600,437.6700
TSLA,2026-01-16 18:00:00,437.9500,437.9500,437.7750,437.8000
TSLA,2026-01-16 17:55:00,437.7500,437.9900,437.7200,437.9500
TSLA,2026-01-16 17:50:00,437.7100,447.2953,437.6699,437.7400
